id,name,branch,address,district,cuisine,pricePerPerson,rating,review,recommendedDishes,visitDate,videoUrl,longitude,latitude,verificationStatus,updatedAt
bv1dc9xb4euq-1,花见小鹿,,武汉市江岸区台北一路157号,江岸区,日式烤肉,,mixed,员外测评398元黑毛和牛自助，整体肉质以M9+为主，眼肉、牛舌、外裙等部位嫩滑多汁，品质超预期，但分量偏少且部分菜品如肥牛口感割裂。商家存在加单强制消费、饮品选择单一等问题，建议高性价比顾客可尝试，但需注意套餐限制与性价比对比。,,2026-05-16,https://www.bilibili.com/video/BV1DC9xB4Euq,114.287673,30.595102,AI摘要自动提取，待抽查,2026-06-13
bv1wj9tbqema-1,鲜牛坊(招商公园1872品园店),,武汉市汉阳区三青路招商公园1872品园S1-11商铺,汉阳区,火锅,210,recommended,员外在武汉汉阳探访一家口碑潮汕牛肉火锅店，人均210元体验五花籽、吊龙、雪花、胸口油等优质牛肉部位，强调现切现煮、口感脆嫩弹牙，搭配番茄牛腩饭收尾。汤底还原潮州风味，老板全程服务，推荐给喜爱潮汕牛肉火锅的食客，尤其适合二刷品尝。,给喜爱潮汕牛肉火锅、尤其适合二刷品尝,2026-05-11,https://www.bilibili.com/video/BV1WJ9tBQEMa,114.220602,30.533807,AI摘要自动提取，待抽查,2026-06-13
bv1kq9sbkeu9-1,椰礼对面炒面摊（碗上见面）,,武汉市江岸区胜利街213号,江岸区,武汉小吃,,recommended,员外探访武汉路边摊炒面，体验牛肉鸡丁盖浇面（26元）与爆猪肝浇头面（16元），强调食材新鲜、手工鲜面及现买现做特点，评价前者酱香浓郁、牛肉嫩滑，后者猪肝略老但层次丰富。摊主学习王繁星风味并调整，无房租成本，性价比高，推荐附近食客尝试，地址及营业时间附视频结尾。,附近食客尝试、地址、营业时间附视频结尾,2026-05-08,https://www.bilibili.com/video/BV1kq9sBkEU9,114.299763,30.58919,AI摘要自动提取，待抽查,2026-06-13
bv1zc9sbbeqa-1,泉州面线糊(保利香槟店),,武汉市硚口区汉西新村保利香槟国际10幢1层4号,硚口区,闽南小吃,,recommended,员外在泉州面线糊店体验，消费52元，点面线糊（加脆肠、猪心、猪肺等配菜14元）及牛肉汤、炸鸡翅、五香卷等，评价面线糊顺滑融合汤底，配菜弹韧可口，牛肉汤鲜香，炸鸡翅酥脆入味，咸饭粒粒分明，整体自由搭配灵活，适合夏季品尝，推荐附近居民尝试。,附近居民尝试,2026-05-05,https://www.bilibili.com/video/BV1zC9sBBEqa,114.222393,30.590087,AI摘要自动提取，待抽查,2026-06-13
bv1jk9sbue9e-1,平平海鲜排档,,武汉市硚口区中山大道285号美奇国际广场F1层,硚口区,海鲜,,mixed,袁万探访温州风味海鲜大排档，消费454元品尝四道招牌菜：自制酱油肉（68元，肉质鲜香油润）、红烧红花蟹（152元，鲜甜醇厚）、豆芽炒牛肉（68元，分量足但牛肉稍硬）及跳跳鱼（128元，细嫩入味）。店家食材鲜活，自由点菜，推荐红花蟹、跳跳鱼及酱油肉，适合多人分享，环境隐秘但口碑佳，值得老乡或探店爱好者前往体验。,红花蟹、跳跳鱼、酱油肉、适合多人分享、环境隐秘但口碑佳、值得老乡或探店爱好者前往体验,2026-04-30,https://www.bilibili.com/video/BV1Jk9sBuE9e,114.277526,30.572798,AI摘要自动提取，待抽查,2026-06-13
bv1jfodbye3g-1,新疆双石榴花餐厅(东方现代花园店),,武汉市江汉区东方现代花园,江汉区,新疆菜,,mixed,武汉新疆菜餐厅特色，推荐和田烤包子（十元大块羊肉、焦香酥皮）、过油肉拌面（酸甜咸鲜、筋道入味）及手抓饭（羊腿肉软糯、奶香无膻）。店家食材地道，但服务存在效率问题。适合两人点手抓饭与烤羊排，搭配哈密瓜味饮料，风味独特值得尝试。,和田烤包子（十元大块羊肉、焦香酥皮）、过油肉拌面（酸甜咸鲜、筋道入味）、手抓饭（羊腿肉软糯、奶香无膻）,2026-04-25,https://www.bilibili.com/video/BV1jFoDByE3G,114.244605,30.611619,AI摘要自动提取，待抽查,2026-06-13
bv1tgoxb8epc-1,曼香云天云南傣族烧烤,,武汉市洪山区关南园二路旭辉千山凌云S1-002号沿街商铺,洪山区,烧烤,,mixed,员外探访云南风味烧烤店，强调需早到避免久等，推荐薄荷炸排骨、香茅烤鱼、炭烤五花肉及百香果米线等特色菜品，口感丰富解腻，但需耐心等待1.5小时以上，建议备泡菜搭配，最终总结为味道出众但服务需改进，适合追求美食体验的食客。,薄荷炸排骨、香茅烤鱼、炭烤五花肉、百香果米线、口感丰富解腻、但需耐心、建议备泡菜搭配、最终总结为味道出众但服务需改进,2026-04-22,https://www.bilibili.com/video/BV1tGoxB8EpC,114.416644,30.477596,AI摘要自动提取，待抽查,2026-06-13
bv1fzdwbuewy-1,杨记港式烧腊(融科·天城三期店),,武汉市江岸区解放南路178号附8融科·天城三期16栋,江岸区,粤式烧腊,,recommended,员外二刷武汉某烧腊店，评价其烧鹅皮脆肉嫩、果木香甜，叉烧蜜汁平衡、肉质软嫩，白切鸡皮脆骨红、鲜香层次丰富，综合品质稳居武汉顶尖。消费114元，推荐搭配得物外设优惠，强调店家出品稳定，值得反复打卡。,搭配得物外设优惠、强调店家出品稳定、值得反复打卡,2026-04-19,https://www.bilibili.com/video/BV1fzdWBuEWy,114.29803,30.597247,AI摘要自动提取，待抽查,2026-06-13
bv1cgdebbeyv-1,妥师傅馄饨铺,,武汉市武昌区黄鹤楼街道花堤街36号附1,武昌区,中式小吃,,recommended,宜兴人袁万探访一家手工馄饨店，体验三款特色馄饨：黑松露牛肝菌猪油渣馄饨（32元，肉馅超大弹滑）、贡菜小龙虾馄饨（28元，虾肉卤味浓郁）及招牌鲜肉馄饨（15元含惊喜馅料）。店铺小巧但食材新鲜，汤底咸鲜，风味层次丰富，深受推荐，但需注意停车及堂食等待时间。,但需注意停车、堂食,2026-04-17,https://www.bilibili.com/video/BV1cGdeBBEYV,114.292741,30.536329,AI摘要自动提取，待抽查,2026-06-13
bv1kjddbuetz-1,野坛子夜面,,武汉市江岸区塔子湖街道塔子湖西路9号,江岸区,其他,,recommended,武汉夜面馆体验，推荐酸菜肉末拌面（10元，手工面劲道弹牙，可加量不加价），并提醒粉类（如酸辣鸡杂汤粉14元）口感普通。其他菜品如凉拌酥肉丸子汤（9元）性价比高，建议饭量大者提前加面。整体环境适合深夜用餐，人均不足20元，风味扎实。,酸菜肉末拌面（10元、手工面劲道弹牙、可加量不加价）、并提醒粉类口感普通,2026-04-12,https://www.bilibili.com/video/BV1kJDDBuETZ,114.270773,30.640316,AI摘要自动提取，待抽查,2026-06-13
bv1csdvbyev4-1,鲁莒世家山东莒县全羊汤,,武汉市洪山区虎泉街51附2,洪山区,其他,40,recommended,武汉新开鲁菜馆“山东举县全羊汤”的测评，团队248元消费体验五人份菜品。重点推荐炸茄盒（32元，份大美味需特殊定制）、呛羊脸（36元，鲜嫩无膻味）及风味羊汤（20元，奶香浓郁）。服务诚意突出，茄盒因误送处理高效，人均40元性价比高，适合尝试鲁菜特色。,炸茄盒（32元、份大美味需特殊定制）、呛羊脸（36元、鲜嫩无膻味）、风味羊汤（20元、奶香浓郁）,2026-04-08,https://www.bilibili.com/video/BV1CSDvBYEV4,114.36853,30.514659,AI摘要自动提取，待抽查,2026-06-13
bv1y697b4eni-1,老四川菜馆,,武汉市江岸区花桥街道竹叶山村141号,江岸区,川菜,,recommended,员外在武汉巷子中的川菜馆体验，推荐牛舌、鱼香肉丝、芋儿肥肠鸡等菜品，人均消费约90元，强调食材新鲜、调味恰到好处且分量足，尤其芋儿肥肠鸡软糯入味，老板为资深厨师，店铺虽低调却藏有高水准，适合寻找地道川味的食客。,牛舌、鱼香肉丝、芋儿肥肠鸡、人均消费约90元、强调食材新鲜、调味恰到好处且分量足、尤其芋儿肥肠鸡软糯入味、老板为资深厨师,2026-04-01,https://www.bilibili.com/video/BV1y697B4ENi,114.284521,30.621073,AI摘要自动提取，待抽查,2026-06-13
bv1kjx9b9ech-1,周末小厨,,武汉市江岸区方舟花园2栋2单元1层2室,江岸区,其他,240,recommended,员外探访一家虽上菜极慢、环境简陋但菜品极佳的小店，人均240元，推荐鱼籽豆腐（88元，颗粒饱满，鲜香入味）、椒盐凤爪（68元，酥脆多汁）等招牌菜，但需注意排队时间长、缺乏服务，适合追求口味的食客连续打卡，不建议对效率要求高的顾客前往。,鱼籽豆腐（88元、颗粒饱满、鲜香入味）、椒盐凤爪（68元、酥脆多汁）、但需注意排队时间长、缺乏服务、适合追求口味,2026-03-30,https://www.bilibili.com/video/BV1kJX9B9ECH,114.324907,30.650674,AI摘要自动提取，待抽查,2026-06-13
bv14vwwzueql-1,德元兰州纯汤牛肉面(武汉首店),,武汉市武昌区水果湖街道烟霞路环球国际中心旁,武昌区,其他,,recommended,袁万在武汉德元纯汤牛肉面店体验，对比兰州分店，环境及服务相似，套餐含细面、牛肉、鸡蛋，油辣子微辣，汤底略咸但劲道，牛肉量足，新增白萝卜和脆口土豆小菜，红枣茶免费提供。武汉店面食口感稍逊但性价比高，推荐肉蛋双飞多加辣版本，整体评价保持领先水准。,肉蛋双飞多加辣版本、整体评价保持领先水准,2026-03-18,https://www.bilibili.com/video/BV14VwwzuEqL,114.335416,30.558607,AI摘要自动提取，待抽查,2026-06-13
bv1w6c6z3egc-1,鸡老五碳炉土鸡煲,,"武汉市洪山区书城路7号名士1号1,2号住宅及S-1商业栋1-2层2商室",洪山区,其他,,recommended,员外探访炭炉脆皮鸡煲，双人套餐112元含六盘清远鸡、鸡汤、茼蒿和手工面，鸡肉嫩皮脆，涮煮45-60秒口感最佳，汤底清鲜，推荐搭配茼蒿和保留面底清汤，另需自付五元调料费，适合休闲聚餐。,搭配茼蒿和保留面底清汤、另需自付五元调料费、适合休闲聚餐,2026-03-12,https://www.bilibili.com/video/BV1W6c6z3EGC,114.341326,30.506906,AI摘要自动提取，待抽查,2026-06-13
bv1ayn3zselj-1,顺美玲饺子店·武汉妈妈手艺,,武汉市江岸区长春街51号,江岸区,其他,,recommended,员外探访一家手工现包饺子馆，尝试三种馅料（荠菜鲜肉、白菜鲜肉、虾仁鲜肉）搭配四种山西及四川窖藏醋，推荐保宁醋衬清甜、东湖老陈醋压腥提鲜，最终以自制辣醋提升风味，强调食材新鲜、现包品质高，虽皮为机器擀制，整体体验舒适，性价比与摆拍结合，适合路过品尝。,保宁醋衬清甜、东湖老陈醋压腥提鲜、最终以自制辣醋提升风味、强调食材新鲜、现包品质高、虽皮为机器擀制、整体体验舒适、性价比与摆拍结合,2026-03-09,https://www.bilibili.com/video/BV1ayN3zSELj,114.309366,30.60557,AI摘要自动提取，待抽查,2026-06-13
bv1azpvz7e45-1,澳泽鮮和牛烧肉(中南欢乐汇店),,武汉市武昌区南湖街道中南欢乐汇,武昌区,烤肉,,recommended,员外在武汉M8自助烤肉店试吃双人基础档258元套餐，涵盖M8级卡卢比、牛后胸、牛五花等多部位，口感软嫩多汁但品控偶有波动。同时推荐399/499元中高档位，含限量眼肉、西冷等高端肉品，但性价比存疑。店家提供2026元美食津贴活动，饮料草莓及服务整体评价良好，建议按需选择档位体验。,399/499元中高档位、含限量眼肉、西冷、但性价比存疑,2026-03-04,https://www.bilibili.com/video/BV1azPvz7E45,114.332344,30.529776,AI摘要自动提取，待抽查,2026-06-13
bv1z4pczte3q-1,汤胖子,,武汉市江岸区百步亭花园百花路4号门面,江岸区,烧烤,,recommended,武汉宵夜文化中烧烤之外的特色选择，探访一家无装修但生意火爆的老店，品尝鸡杂汤（60元，含丰富鸡杂、鸡蛋、鸡枞等，汤鲜味浓）、枯豆丝（15元，香脆弹牙）和煎饺（15元，韭菜肉馅）。店家强调将资金投入汤料，突出传统吊子炖煮工艺，展现老武汉烟火气息与地道风味，推荐体验汤水类宵夜的温暖与独特口感。,体验汤水类宵夜,2026-03-04,https://www.bilibili.com/video/BV1Z4PcztE3q,114.32328,30.646985,AI摘要自动提取，待抽查,2026-06-13
bv16xahz2ebq-1,爱尚民宿农家菜,,武汉市黄陂区快乐的萍儿客栈(3号店)东北侧,黄陂区,其他,,unknown,员外驱车60公里探访黄皮地区农家乐，克服老板娘已睡、深夜赶制的困难，品尝黄皮三鲜、黄鱼饺子等特色菜，评价食材新鲜、手工制作，汤底鲜美，虽部分菜品偏咸或特殊（如臭萝卜），但整体口味贴合本地人喜好，朴实自然，适合顺道体验农家风味。,,2026-02-28,https://www.bilibili.com/video/BV16xAhz2Ebq,114.348175,31.015598,AI摘要自动提取，待抽查,2026-06-13
bv1h7f1byesc-1,文焰鑫赤壁牛杂(后湖店),,武汉市江岸区后湖街道新益村统建同安家园四期55栋1-2层商1赤壁牛杂,江岸区,火锅,,recommended,远万在赤壁牛杂火锅店体验，两人消费206元，点两份牛杂（66元/斤，含牛肉、牛肚、牛筋等，肉质鲜嫩）、半份胸口油（38元，需久煮脆弹）及炒饭。重点推荐牛舌、牛脑、胸口油搭配秘制蘸料，强调食材新鲜与口感层次，总结武汉赤壁牛杂以食材和料汁为核心，推荐就近选择体验。,牛舌、牛脑、胸口油搭配秘制蘸料、强调食材新鲜与口感层次、总结武汉赤壁牛杂以食材和料汁为核心、推荐就近选择体验,2026-02-24,https://www.bilibili.com/video/BV1H7f1ByEsc,114.304378,30.652662,AI摘要自动提取，待抽查,2026-06-13
bv1mvfozreje-1,东海怡品海鲜豆捞(科技馆店),,武汉市江岸区一元街道武汉港20号码头出口附近,江岸区,火锅,,recommended,员外探店高性价比海鲜小火锅，三人消费549元，体验鲜活鲍鱼、珍宝蟹、深水虾等海鲜，强调食材新鲜、口感软嫩Q弹，搭配自制牛肉丸、三文鱼捞汁等菜品，推荐白象拌面福利活动，总结店家口味单一但品质优秀，适合追求新鲜海鲜的食客。,白象拌面福利活动、总结店家口味单一但品质优秀、适合追求新鲜海鲜,2026-02-20,https://www.bilibili.com/video/BV1mvFozREJe,114.299319,30.578078,AI摘要自动提取，待抽查,2026-06-13
bv1apes6berr-1,林红川菜馆(美联城观店),,武汉市江岸区城中村改造K4地块2号商业1层商6室,江岸区,川菜,,unknown,武汉汉派川菜馆特色菜品，如回锅肉（32元）咸鲜平衡、蹄花烧凤爪（58元）卤香软糯、干烧小黄鱼（38元）去花椒增软香，及本地化改良的上汤苋菜。店家由四川厨师主打适口街坊菜，兼顾川味与武汉饮食习惯，出餐需注意排队及备餐时间，展现汉派川菜的独特融合风格。,,2026-06-10,https://www.bilibili.com/video/BV1APES6bErr,114.274198,30.632048,AI摘要自动提取，待抽查,2026-06-13
bv1yxqgbeexa-2,天之桥立(花园道店),,武汉市江汉区花园道c106一层（星巴克的后面）,江汉区,其他,,recommended,袁万在武汉探访三家日式拉面店的横向对比，涵盖贝汁煮干拉面、超浓厚酱油豚骨拉面及套餐体验，重点分析汤底醇厚度、面条筋性及配菜品质，推荐天之巧力口感平衡、服务热情，不推荐私素因预约抢票难且食材寡淡，强调美食津贴活动助力消费，供食客参考选择。,天之巧力口感平衡、服务热情、不推荐私素因预约抢票难且食材寡淡、强调美食津贴活动助力消费、供食客参考选择,2026-04-15,https://www.bilibili.com/video/BV1YXQgBEEXa,114.265686,30.59555,AI摘要自动提取，待抽查,2026-06-13
bv1yxqgbeexa-3,吾为ラーメン日式拉面(西北湖店),,武汉市江汉区万松街街道西北湖公园8-22号(啤酒叔叔隔壁),江汉区,其他,,recommended,袁万在武汉探访三家日式拉面店的横向对比，涵盖贝汁煮干拉面、超浓厚酱油豚骨拉面及套餐体验，重点分析汤底醇厚度、面条筋性及配菜品质，推荐天之巧力口感平衡、服务热情，不推荐私素因预约抢票难且食材寡淡，强调美食津贴活动助力消费，供食客参考选择。,天之巧力口感平衡、服务热情、不推荐私素因预约抢票难且食材寡淡、强调美食津贴活动助力消费、供食客参考选择,2026-04-15,https://www.bilibili.com/video/BV1YXQgBEEXa,114.266134,30.596709,AI摘要自动提取，待抽查,2026-06-13
bv19vdnbhenx-2,伍号面馆(张自忠路店),,武汉市江岸区张自忠路5号,江岸区,其他,,recommended,员外在武汉测评三家热干面店及一款速食产品，涵盖嗨一口（传统咸鲜、润爽）、5号面馆（厚重回甜芝麻酱）、均均副食（劲道粗面需慎辣）及复刻版速食，总结口感差异并推荐从湿派入门，速食性价比高，适合游客体验。,从湿派入门、速食性价比高、适合游客体验,2026-04-04,https://www.bilibili.com/video/BV19vDNBhENx,114.310745,30.603479,AI摘要自动提取，待抽查,2026-06-13
bv19vdnbhenx-3,君君副食热干面(新华路店),,武汉市江汉区新华路23号,江汉区,其他,,recommended,员外在武汉测评三家热干面店及一款速食产品，涵盖嗨一口（传统咸鲜、润爽）、5号面馆（厚重回甜芝麻酱）、均均副食（劲道粗面需慎辣）及复刻版速食，总结口感差异并推荐从湿派入门，速食性价比高，适合游客体验。,从湿派入门、速食性价比高、适合游客体验,2026-04-04,https://www.bilibili.com/video/BV19vDNBhENx,114.274421,30.589165,AI摘要自动提取，待抽查,2026-06-13
bv1rqqfbxefh-1,渝乡土黄鳝(紫沙路店),,武汉市武昌区紫沙路137号武昌小东门市政建材市场旁,武昌区,其他,,unknown,视频《武汉一家吃兔肉的餐馆》中提及该店；B站未提供AI摘要，具体评价待整理。,,2026-03-27,https://www.bilibili.com/video/BV1RqQfBXEFh,114.321889,30.547789,AI摘要自动提取，待抽查,2026-06-13
bv1s1a7zxefy-2,Alfaday全时制堡(远洋里店),,"武汉市汉阳区远洋里,翠微路87号",汉阳区,其他,,recommended,员外探访武汉六家汉堡店，涵盖本土特色与创意款，如招财进宝牛肉堡汁水丰富、全食至宝川味双椒牛堡中西风味融合、新汉堡鹅肝牛堡醇厚解腻，及连锁店九元牛肉汉堡性价比突出，总结本土汉堡多样选择与制作关键要素，适合避排队时体验。,,2026-03-20,https://www.bilibili.com/video/BV1S1A7zxEFY,114.262062,30.546073,AI摘要自动提取，待抽查,2026-06-13
bv1s1a7zxefy-3,XIN BURGER汉堡,,武汉市洪山区园林路东湖城拾光商业街E1栋1楼2-9,洪山区,其他,,recommended,员外探访武汉六家汉堡店，涵盖本土特色与创意款，如招财进宝牛肉堡汁水丰富、全食至宝川味双椒牛堡中西风味融合、新汉堡鹅肝牛堡醇厚解腻，及连锁店九元牛肉汉堡性价比突出，总结本土汉堡多样选择与制作关键要素，适合避排队时体验。,,2026-03-20,https://www.bilibili.com/video/BV1S1A7zxEFY,114.365771,30.58223,AI摘要自动提取，待抽查,2026-06-13
bv1s1a7zxefy-4,Patty&Co手工汉堡(小馅饼公司),,武汉市江岸区洞庭街57号,江岸区,其他,,recommended,员外探访武汉六家汉堡店，涵盖本土特色与创意款，如招财进宝牛肉堡汁水丰富、全食至宝川味双椒牛堡中西风味融合、新汉堡鹅肝牛堡醇厚解腻，及连锁店九元牛肉汉堡性价比突出，总结本土汉堡多样选择与制作关键要素，适合避排队时体验。,,2026-03-20,https://www.bilibili.com/video/BV1S1A7zxEFY,114.299349,30.584884,AI摘要自动提取，待抽查,2026-06-13
bv1s1a7zxefy-5,Plus Burger·加汉堡,,武汉市武昌区水果湖街道凯德1818负一楼,武昌区,其他,,recommended,员外探访武汉六家汉堡店，涵盖本土特色与创意款，如招财进宝牛肉堡汁水丰富、全食至宝川味双椒牛堡中西风味融合、新汉堡鹅肝牛堡醇厚解腻，及连锁店九元牛肉汉堡性价比突出，总结本土汉堡多样选择与制作关键要素，适合避排队时体验。,,2026-03-20,https://www.bilibili.com/video/BV1S1A7zxEFY,114.339296,30.554266,AI摘要自动提取，待抽查,2026-06-13
bv1s1a7zxefy-6,前进5路汉堡炸鸡,,武汉市江汉区前进五路69号,江汉区,其他,,recommended,员外探访武汉六家汉堡店，涵盖本土特色与创意款，如招财进宝牛肉堡汁水丰富、全食至宝川味双椒牛堡中西风味融合、新汉堡鹅肝牛堡醇厚解腻，及连锁店九元牛肉汉堡性价比突出，总结本土汉堡多样选择与制作关键要素，适合避排队时体验。,,2026-03-20,https://www.bilibili.com/video/BV1S1A7zxEFY,114.288392,30.580121,AI摘要自动提取，待抽查,2026-06-13
bv1zbcdzbemu-2,tasty tasty,,青山区钢花村街道武钢第十五幼儿园,青山区,粤式烧腊,,recommended,员外推荐四家一人食餐厅：港式烧腊馆（16-38元，广式腊肠饭、四拼烧腊性价比高）、青山新店（80元，鹅肝牛舌拌饭、油焖鸡松饼风味独特）、阔义食堂（闽台融合，咖喱牛排、盐酥鸡排套餐）及老表快炒（家常小炒如香干排骨、农家一碗香）。强调食材新鲜、调味出色，部分提供免费续菜，适合一人用餐体验。,广式腊肠饭、四拼烧腊性价比高）、青山新店（80元、鹅肝牛舌拌饭、油焖鸡松饼风味独特）、阔义食堂（闽台融合、咖喱牛排、盐酥鸡排套餐）,2026-03-15,https://www.bilibili.com/video/BV1zbcDzbEMu,114.384217,30.621332,AI摘要自动提取，待抽查,2026-06-13
bv1zbcdzbemu-3,阔意食堂·闽台便当店,,江汉区长江日报路与新华路交叉口东120米,江汉区,粤式烧腊,,recommended,员外推荐四家一人食餐厅：港式烧腊馆（16-38元，广式腊肠饭、四拼烧腊性价比高）、青山新店（80元，鹅肝牛舌拌饭、油焖鸡松饼风味独特）、阔义食堂（闽台融合，咖喱牛排、盐酥鸡排套餐）及老表快炒（家常小炒如香干排骨、农家一碗香）。强调食材新鲜、调味出色，部分提供免费续菜，适合一人用餐体验。,广式腊肠饭、四拼烧腊性价比高）、青山新店（80元、鹅肝牛舌拌饭、油焖鸡松饼风味独特）、阔义食堂（闽台融合、咖喱牛排、盐酥鸡排套餐）,2026-03-15,https://www.bilibili.com/video/BV1zbcDzbEMu,114.272304,30.604357,AI摘要自动提取，待抽查,2026-06-13
